Course_ID,Instructor,Course_Name,Duration_Days,Topic
1482D,Oscar Wasilik,"Artificial Intelligence-Powered Project Excellence: Roadmaps, Success Strategies, and Practical Tools",2,"AI, Construction, AI Technical"
1552D,Oscar Wasilik,Artificial Intelligence Applied Skills: Unlocking Project Automation and Efficiency Gains,2,"AI, AI Technical"
1991D,Oscar Wasilik,AI Applications: Future-Proofing your PMO,1,"PMO, AI/PMO"
1681D,Peter Ivanov,Embracing AI in your Projects,1,AI
1702D,Peter Ivanov,AI Agents for Project Excellence,2,"AI, AI Technical"
1902D,Rafsan Huseynov,Microsoft 365 Copilot: AI for PM Productivity,2,"AI/Technical, TECHNICAL"
1243D,Robert Bogue,Change Management for Project Success,3,Agile
0582D,Scott Burd,Measure What Matters: Track Benefits Realization,2,"PM Skills, PM Skills "
2072D,Scott Dunn,Developing High Performing Agile Teams,2,AGILE
1251D,Subash Racoojmar,Psychological Safety at Work,1,Softskills
1724D,Sunny Faronbi,Lead with Emotional Intelligence,4,"EI, PMO/EI, PMO"
2012D,TBD,NEW! Construction Technology and Innovation,2,Construction
2022D,TBD, Construction Performance and Materials Management ,2,Construction
0784H,Teresa Lawrence,"Solve the Problem, Not the Symptom",0.5,soft skills
1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,"PM Skills , PM Skills, soft skills"
1414H,Teresa Lawrence,Cognitive Diversity: Leverage Your Thinking Style,0.5,softskills
0541D,Thomas Jarocki,Managing the Human Side of Projects,1,"Project, Leadership, Change Mgmt"
0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,"PM Skills, Project Success, Project Skills, Business Acumen"
1962D,Tony Prensa,Implement a Strategic PMO: Drive Business Value,2,PMO
0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage)",2,"Soft Skills, Softskills, EI"
0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage) (Beyond Boss Mode from Control to co-elevation) ",2,Communication
1022D,Traci Duez,Leadership Brilliance: Unlock Your Confidence and Courage,2,Leadership
2084D,Traci Duez,Leadership Discovery of your Value and Reputation,4,Leadership
1892D,Tyson Rydl,Human Design Pattern Thinking,2,PMI Skills
New 2D,Tyson Rydl,Human Pattern Design Thinking,2,Technical
0612D,Vijay Verma,"Negotiate to Win: Build Partnerships, Secure Resources",2,Leadership
