Event_ID,Event,Day,Date,Course_ID,Instructor,Course_Name,Duration_Days,Room,Conflict,Configured
EV002,Scottsdale,3,3/18/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV002,Scottsdale,3,3/18/2026,0192D,Iain Fraser,Change Management: Navigate the Future,2,1,,Yes
EV002,Scottsdale,3,3/18/2026,0422D,Kandis Porter,How to Think Strategically and Apply Business Acumen,2,1,,Yes
EV002,Scottsdale,3,3/18/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV002,Scottsdale,3,3/18/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV002,Scottsdale,3,3/18/2026,0724D,Brad Malone,From PMBOK® to Practice: Building Your PM Competency Foundation,4,1,,Yes
EV002,Scottsdale,3,3/18/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV002,Scottsdale,3,3/18/2026,1552D,Oscar Wasilik,Artificial Intelligence Applied Skills: Unlocking Project Automation and Efficiency Gains,2,1,,Yes
EV002,Scottsdale,3,3/18/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV002,Scottsdale,3,3/18/2026,2022D,Bob Maiale,Construction Performance and Materials Management ,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,0192D,Iain Fraser,Change Management: Navigate the Future,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,0422D,Kandis Porter,How to Think Strategically and Apply Business Acumen,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV002,Scottsdale,4,3/19/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV002,Scottsdale,4,3/19/2026,0724D,Brad Malone,From PMBOK® to Practice: Building Your PM Competency Foundation,4,1,,Yes
EV002,Scottsdale,4,3/19/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV002,Scottsdale,4,3/19/2026,1552D,Oscar Wasilik,Artificial Intelligence Applied Skills: Unlocking Project Automation and Efficiency Gains,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV002,Scottsdale,4,3/19/2026,2022D,Bob Maiale,Construction Performance and Materials Management ,2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,0612D,Vijay Verma,"Negotiate to Win: Build Partnerships, Secure Resources",2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,0621D,Jack Duggal,Lead Through Uncertainty: Next-Gen Communication Skills,1,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,0872D,Drew Clark,Drive Digital Transformation at Scale,2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1344H,Carl Pritchard,Adaptive Project Management,0.6,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1641D,Annie Sheehan,Courageous Sponsorship,1,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1724D,Sunny Faronbi,Lead with Emotional Intelligence,4,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1731D,Carlene Szostak,Leading Remote Teams,1,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1902D,Rafsan Huseynov,Microsoft 365 Copilot: AI for PM Productivity,2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV003,Virtual-Apr,1,4/20/2026,2063D,April Callis-Birchmeier,Leading Change that Sticks; Drive Adoption and Results,3,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,0432D,Joseph Reed,Influencing Without Authority,2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,0612D,Vijay Verma,"Negotiate to Win: Build Partnerships, Secure Resources",2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,0872D,Drew Clark,Drive Digital Transformation at Scale,2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1101D,Greta Blash,Hybrid Project Management: The Best of Both Worlds,1,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1651D,Annie Sheehan,Empowering Leaders to Execute Strategically,1,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1724D,Sunny Faronbi,Lead with Emotional Intelligence,4,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1741D,Carlene Szostak,AI Ethics for Project Managers,1,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1864H,Joseph Reed, Influencing Without Authority Interactive Briefing,0.6,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1902D,Rafsan Huseynov,Microsoft 365 Copilot: AI for PM Productivity,2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV003,Virtual-Apr,2,4/21/2026,2063D,April Callis-Birchmeier,Leading Change that Sticks; Drive Adoption and Results,3,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,0432D,Joseph Reed,Influencing Without Authority,2,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,0582D,Scott Burd,Measure What Matters: Track Benefits Realization,2,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,1132D,Jack Duggal,Become a Changemaker: Transform Organizations,2,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,1602D,Brad Malone,Project Management Foundations: Launch Your Success,2,1,,Yes
